,Date,State,Confirmed,Recovered,Deaths
381,2020-03-13,Tennessee,26.0,0.0,0.0
382,2020-03-13,Texas,43.0,0.0,0.0
383,2020-03-13,Utah,9.0,0.0,0.0
384,2020-03-13,Vermont,2.0,0.0,0.0
385,2020-03-13,Virginia,30.0,0.0,0.0
386,2020-03-13,Washington,568.0,1.0,37.0
387,2020-03-13,West Virginia,0.0,0.0,0.0
388,2020-03-13,Wisconsin,19.0,1.0,0.0
389,2020-03-13,Wyoming,1.0,0.0,0.0
390,2020-03-14,Alabama,6.0,0.0,0.0
391,2020-03-14,Arizona,12.0,1.0,0.0
392,2020-03-14,Arkansas,12.0,0.0,0.0
393,2020-03-14,California,340.0,6.0,5.0
394,2020-03-14,Colorado,101.0,0.0,1.0
395,2020-03-14,Connecticut,22.0,0.0,0.0
396,2020-03-14,Delaware,6.0,0.0,0.0
397,2020-03-14,District of Columbia,10.0,0.0,0.0
398,2020-03-14,Florida,76.0,0.0,3.0
399,2020-03-14,Georgia,66.0,0.0,1.0
400,2020-03-14,Hawaii,4.0,0.0,0.0
401,2020-03-14,Idaho,2.0,0.0,0.0
402,2020-03-14,Illinois,64.0,2.0,0.0
403,2020-03-14,Indiana,16.0,0.0,0.0
404,2020-03-14,Iowa,17.0,0.0,0.0
405,2020-03-14,Kansas,8.0,0.0,1.0
406,2020-03-14,Kentucky,14.0,0.0,0.0
407,2020-03-14,Louisiana,77.0,0.0,1.0
408,2020-03-14,Maine,3.0,0.0,0.0
409,2020-03-14,Maryland,26.0,0.0,0.0
410,2020-03-14,Massachusetts,138.0,1.0,0.0
411,2020-03-14,Michigan,25.0,0.0,0.0
412,2020-03-14,Minnesota,21.0,0.0,0.0
413,2020-03-14,Mississippi,6.0,0.0,0.0
414,2020-03-14,Missouri,4.0,0.0,0.0
415,2020-03-14,Montana,5.0,0.0,0.0
416,2020-03-14,Nebraska,14.0,0.0,0.0
417,2020-03-14,Nevada,21.0,0.0,0.0
418,2020-03-14,New Hampshire,7.0,0.0,0.0
419,2020-03-14,New Jersey,69.0,0.0,1.0
420,2020-03-14,New Mexico,10.0,0.0,0.0
421,2020-03-14,New York,525.0,0.0,2.0
422,2020-03-14,North Carolina,24.0,0.0,0.0
423,2020-03-14,North Dakota,1.0,0.0,0.0
424,2020-03-14,Ohio,26.0,0.0,0.0
425,2020-03-14,Oklahoma,4.0,0.0,0.0
426,2020-03-14,Oregon,32.0,0.0,0.0
427,2020-03-14,Pennsylvania,47.0,0.0,0.0
428,2020-03-14,Puerto Rico,3.0,0.0,0.0
429,2020-03-14,Rhode Island,20.0,0.0,0.0
430,2020-03-14,South Carolina,19.0,0.0,0.0
431,2020-03-14,South Dakota,9.0,0.0,1.0
432,2020-03-14,Tennessee,32.0,0.0,0.0
433,2020-03-14,Texas,57.0,0.0,0.0
434,2020-03-14,Utah,10.0,0.0,0.0
435,2020-03-14,Vermont,5.0,0.0,0.0
436,2020-03-14,Virginia,41.0,0.0,1.0
437,2020-03-14,Washington,572.0,1.0,37.0
438,2020-03-14,West Virginia,0.0,0.0,0.0
439,2020-03-14,Wisconsin,27.0,1.0,0.0
440,2020-03-14,Wyoming,2.0,0.0,0.0
441,2020-03-15,Alabama,12.0,0.0,0.0
442,2020-03-15,Alaska,1.0,0.0,0.0
443,2020-03-15,Arizona,13.0,1.0,0.0
444,2020-03-15,Arkansas,16.0,0.0,0.0
445,2020-03-15,California,426.0,6.0,6.0
446,2020-03-15,Colorado,131.0,0.0,1.0
447,2020-03-15,Connecticut,24.0,0.0,0.0
448,2020-03-15,Delaware,7.0,0.0,0.0
449,2020-03-15,District of Columbia,16.0,0.0,0.0
450,2020-03-15,Florida,115.0,0.0,4.0
451,2020-03-15,Georgia,99.0,0.0,1.0
452,2020-03-15,Guam,3.0,0.0,0.0
453,2020-03-15,Hawaii,6.0,0.0,0.0
454,2020-03-15,Idaho,5.0,0.0,0.0
455,2020-03-15,Illinois,93.0,2.0,0.0
456,2020-03-15,Indiana,20.0,0.0,0.0
457,2020-03-15,Iowa,18.0,0.0,0.0
458,2020-03-15,Kansas,8.0,0.0,1.0
459,2020-03-15,Kentucky,20.0,0.0,0.0
460,2020-03-15,Louisiana,91.0,0.0,2.0
461,2020-03-15,Maine,12.0,0.0,0.0
462,2020-03-15,Maryland,32.0,0.0,0.0
463,2020-03-15,Massachusetts,164.0,1.0,0.0
464,2020-03-15,Michigan,33.0,0.0,0.0
465,2020-03-15,Minnesota,35.0,0.0,0.0
466,2020-03-15,Mississippi,10.0,0.0,0.0
467,2020-03-15,Missouri,5.0,0.0,0.0
468,2020-03-15,Montana,7.0,0.0,0.0
469,2020-03-15,Nebraska,17.0,0.0,0.0
470,2020-03-15,Nevada,24.0,0.0,0.0
471,2020-03-15,New Hampshire,13.0,0.0,0.0
472,2020-03-15,New Jersey,98.0,0.0,2.0
473,2020-03-15,New Mexico,13.0,0.0,0.0
474,2020-03-15,New York,732.0,0.0,3.0
475,2020-03-15,North Carolina,33.0,0.0,0.0
476,2020-03-15,North Dakota,1.0,0.0,0.0
477,2020-03-15,Ohio,37.0,0.0,0.0
478,2020-03-15,Oklahoma,7.0,0.0,0.0
479,2020-03-15,Oregon,36.0,0.0,1.0
480,2020-03-15,Pennsylvania,66.0,0.0,0.0
481,2020-03-15,Puerto Rico,5.0,0.0,0.0
482,2020-03-15,Rhode Island,20.0,0.0,0.0
483,2020-03-15,South Carolina,28.0,0.0,0.0
484,2020-03-15,South Dakota,9.0,0.0,1.0
485,2020-03-15,Tennessee,39.0,0.0,0.0
486,2020-03-15,Texas,72.0,0.0,0.0
487,2020-03-15,Utah,28.0,0.0,0.0
488,2020-03-15,Vermont,8.0,0.0,0.0
489,2020-03-15,Virginia,45.0,0.0,1.0
490,2020-03-15,Washington,643.0,1.0,40.0
491,2020-03-15,West Virginia,0.0,0.0,0.0
492,2020-03-15,Wisconsin,32.0,1.0,0.0
493,2020-03-15,Wyoming,3.0,0.0,0.0
494,2020-03-16,Alabama,29.0,0.0,0.0
495,2020-03-16,Alaska,1.0,0.0,0.0
496,2020-03-16,Arizona,18.0,1.0,0.0
497,2020-03-16,Arkansas,22.0,0.0,0.0
498,2020-03-16,California,557.0,6.0,7.0
499,2020-03-16,Colorado,160.0,0.0,1.0
500,2020-03-16,Connecticut,30.0,0.0,0.0
501,2020-03-16,Delaware,8.0,0.0,0.0
502,2020-03-16,District of Columbia,22.0,0.0,0.0
503,2020-03-16,Florida,155.0,0.0,5.0
504,2020-03-16,Georgia,121.0,0.0,1.0
505,2020-03-16,Guam,3.0,0.0,0.0
506,2020-03-16,Hawaii,7.0,0.0,0.0
507,2020-03-16,Idaho,5.0,0.0,0.0
508,2020-03-16,Illinois,105.0,2.0,0.0
509,2020-03-16,Indiana,25.0,0.0,1.0
510,2020-03-16,Iowa,23.0,0.0,0.0
511,2020-03-16,Kansas,11.0,0.0,1.0
512,2020-03-16,Kentucky,21.0,1.0,1.0
513,2020-03-16,Louisiana,136.0,0.0,3.0
514,2020-03-16,Maine,17.0,0.0,0.0
515,2020-03-16,Maryland,41.0,3.0,0.0
516,2020-03-16,Massachusetts,197.0,1.0,0.0
517,2020-03-16,Michigan,53.0,0.0,0.0
518,2020-03-16,Minnesota,54.0,0.0,0.0
519,2020-03-16,Mississippi,13.0,0.0,0.0
520,2020-03-16,Missouri,6.0,0.0,0.0
521,2020-03-16,Montana,7.0,0.0,0.0
522,2020-03-16,Nebraska,18.0,0.0,0.0
523,2020-03-16,Nevada,45.0,0.0,1.0
